relativePath,category,archiveExists,currentExists,byteIdentical,archiveSha256,currentSha256,decision,action,evidence
.gitignore,repo-config,true,true,false,1e2fecc75cdd3c0f4161356c1490ee431dff94bbc779e3a34cc9359ce8ef0a49,18953b290cfb19844d546d8f3261726a987b8e2bee0881a20bda4400a4978ecf,CURRENT_ACCEPTED,"Keep the current platform ignore policy. The current file adds local-only exclusions for consolidated attachments, merge archives, generated QA dumps, release/evidence dumps, and local Android evidence without removing source tracking requirements.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/.gitignore .gitignore,corepack pnpm run clean:junk,git diff --check"
.prettierignore,repo-config,true,true,false,82ed2f6e2e1b712a96b98759a2f614806b704a003356236994c76be4ef95e0cc,8a9d74e15ebbd96d90d6d587e6be016b61055453c69eadb8ab660a5b830dbb83,CURRENT_ACCEPTED,Keep the current platform formatting ignore policy. It preserves the archive as a historical non-runtime comparison input while source files remain formatted through targeted checks.,"git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/.prettierignore .prettierignore,corepack pnpm exec prettier --write targeted files,git diff --check"
100_PERCENT_READINESS.md,docs-evidence,true,false,false,719e26f8dd43a332f018313284ba4862c8edd47134d4608be3c24124d4138dea,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
COMPLETION_REPORT.md,docs-evidence,true,false,false,c1c9bb209ee0c534a403e55c787df7c7169871fecd0cf9f029d8b35a5e797461,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
package.json,repo-config,true,true,false,9a6f949218436c25cbd8c10b990dfcdd1defdb33590097761280b3aab23b33e0,544f085dd5a5d7a1f09d16e3e37e3a2d1b68b0211c0e013aac067b08c8b75249,CURRENT_ACCEPTED,Keep the current root package manifest. It is a verified superset for the current release workflow and adds the mobile preview phone proof script required by the physical-device QA gate.,"node --test scripts/release/check-release-readiness.test.mjs,corepack pnpm run check:package-manager-scripts,corepack pnpm run clean:junk"
pnpm-lock.yaml,repo-config,true,true,false,a5ee230304007752052b8f530358a14950a0f6964ee31a36c2d8b815a2eaa993,ce63fc4484c77e77dcf59ba1b476f33001185622376314b2dc67ab3bab0a5a1b,CURRENT_ACCEPTED,Keep the current lockfile because it matches the current package manifests and has passed frozen install and security audit evidence in this consolidated platform workspace.,"corepack pnpm install --frozen-lockfile,corepack pnpm audit --audit-level=high --prod=false --json,release/security-audit-evidence.json"
services/api/tests/growth-db-repository.test.ts,backend-source,true,true,false,dd2745e45da18c7c304e0f859dc22a9a95d61c70316c7fe9eaa53d7de2bf1302,42761469724bc44df4608e7656b6cb4e793061ec31bd53fadcd0683ea535b41e,CURRENT_ACCEPTED,"Keep the current Growth DB repository test. It asserts the SQL selects `saved_progress.newly_completed` and allows the replay fixture to rely on `idempotent_replay`, matching the hardened repository behavior.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/services/api/tests/growth-db-repository.test.ts services/api/tests/growth-db-repository.test.ts,corepack pnpm --filter @salary-hijacking/api test -- growth-db-repository.test.ts,corepack pnpm --filter @salary-hijacking/api exec vitest run tests/growth-db-repository.test.ts"
services/api/src/repositories/growth.repository.ts,backend-source,true,true,false,4913bd20957423e24fd5b16a7ffd39b9844f1af213f947253964df5f3d483565,84f514c9be449f4fd706c046a66bf2544b3caccab34b7183a19c5d1eb93b3d79,CURRENT_ACCEPTED,"Keep the current Growth repository. It supersedes the archive copy by selecting `saved_progress.newly_completed` and treating either explicit idempotent replay or `newly_completed === false` as zero-XP replay, preventing duplicate LV UP content rewards when replay metadata is partial.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/services/api/src/repositories/growth.repository.ts services/api/src/repositories/growth.repository.ts,corepack pnpm --filter @salary-hijacking/api test -- growth-db-repository.test.ts,corepack pnpm --filter @salary-hijacking/api exec vitest run tests/growth-db-repository.test.ts"
scripts/release/capture-mobile-clean-fintech-screenshots.mjs,release-script,true,true,false,6a877d1fe35c87ab0f15e24ff2c458d59eba006deefecb0e4783591fa8c305b5,092b6640dddf15906efbf8e4fb43f3d34c4f718e71293c0a6f8549fe6f00e682,CURRENT_ACCEPTED,Keep the current screenshot capture script. It is a verified superset of the archive version and adds 320-430px responsive overflow checks plus deterministic 17-screen mobile UI evidence capture.,"git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/scripts/release/capture-mobile-clean-fintech-screenshots.mjs scripts/release/capture-mobile-clean-fintech-screenshots.mjs,node --test scripts/release/capture-mobile-clean-fintech-screenshots.test.mjs,node scripts/release/capture-mobile-clean-fintech-screenshots.mjs"
scripts/release/check-release-readiness.mjs,release-script,true,true,false,24b21ff22f7b5c8c61f6d2c78aafc35c8b15aedc171df6d4450093019cb98b13,fbbc412fbbdf6ef2dff0d66b7a0302146ac389eeb7f5230df9ce186657c97556,CURRENT_ACCEPTED,"Keep the current release readiness gate. It supersedes the archive version with current-head preview APK evidence, physical phone proof checks, strict-mode blockers, CleanFintech fallback detection, mock-only production path detection, and mobile runtime TODO/FIXME blocking.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/scripts/release/check-release-readiness.mjs scripts/release/check-release-readiness.mjs,node --test scripts/release/check-release-readiness.test.mjs,node scripts/release/check-release-readiness.mjs --soft"
scripts/release/check-release-readiness.test.mjs,release-script,true,true,false,760f16a81877dd6d979062d8288e8357e679eb6b2be8451b1a555a0b66bae333,f18e3efd69b071e0ab4daeb035d6fa3e6b9007a7faf55b10afcb3b83cd0705d1,CURRENT_ACCEPTED,"Keep the current release readiness tests. They cover the current strict gates for physical phone QA, latest-source preview APK evidence, mock-only paths, CleanFintech fallback dependencies, runtime TODO/FIXME markers, and unresolved P0/P1/P2 gap register entries.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/scripts/release/check-release-readiness.test.mjs scripts/release/check-release-readiness.test.mjs,node --test scripts/release/check-release-readiness.test.mjs,node --test scripts/release/capture-mobile-clean-fintech-screenshots.test.mjs scripts/release/check-release-readiness.test.mjs"
release/security-audit-evidence.json,other release evidence,true,true,false,ffb93f2e6ab6c3c62e25c38999b1309bb75df47f7416d0fbb2a65e3b6a5c7973,8d1cf174f1844df82ffc3fc9dc7a7b33c7b7743ea1933394149bf51098178cb0,SUPERSEDED_BY_CURRENT_EVIDENCE,Do not port runtime code; keep current tracked evidence as authoritative.,
release/screenshots/01_home_salary.png,generated-or-binary-evidence,true,true,false,21eb8b0971dd47cd4c91cfaa91f2fc79096ce7cc1abbeb47dcede7eee72fee29,56962132f37da3b305717cf59072ecc0cdf9d12d07ac10e4611213d3225fded6,SUPERSEDED_BY_CURRENT_EVIDENCE,Do not port runtime code; keep current tracked evidence as authoritative.,
release/screenshots/02_daily_budget.png,generated-or-binary-evidence,true,true,false,418bfdef76ec844259b23bfdf2be46ae33ccc8057b553267d1ea0790cafc4d5c,56962132f37da3b305717cf59072ecc0cdf9d12d07ac10e4611213d3225fded6,SUPERSEDED_BY_CURRENT_EVIDENCE,Do not port runtime code; keep current tracked evidence as authoritative.,
release/screenshots/03_plan_setting.png,generated-or-binary-evidence,true,true,false,0569e5a1a5cb8071d9a81d5dabab396cb995e54d1b29fb010f749e5254913950,fe3f85f946cf569b9b438809c4e3d35bf962da1ad5a21b1fca7d0f3460d6c093,SUPERSEDED_BY_CURRENT_EVIDENCE,Do not port runtime code; keep current tracked evidence as authoritative.,
release/screenshots/04_notifications.png,generated-or-binary-evidence,true,true,false,218d57695de2e7ae83d85c4b4568b9ccc99e021e3c0722f596e21649808cae87,f610c841f727dcd42d171008bc7bbaeff7cb4c7fba367b5f1a0eea956827a795,SUPERSEDED_BY_CURRENT_EVIDENCE,Do not port runtime code; keep current tracked evidence as authoritative.,
release/screenshots/05_level_up.png,generated-or-binary-evidence,true,true,false,e2a6d9a5d48e443ef084f6a70ed50f457d1ab89e38227325e4a689a60d290706,6570f12416e1b1290949cfed0f3ff5991810768f8f645dfb7a819926a2d2b4af,SUPERSEDED_BY_CURRENT_EVIDENCE,Do not port runtime code; keep current tracked evidence as authoritative.,
release/evidence/build-artifacts.json,other release evidence,true,false,false,41296d901454bdc35a17a1983067f8863806aa53fb33fa8bc1c825e0ef12f4e6,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/checksums.txt,other release evidence,true,false,false,fe15d1edc9657fb987b18f961973d31aea3961b97d770f04fd5a314d2618fe73,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/commands.json,other release evidence,true,false,false,33a0a1bb537b741173346a76b2a3f73304b6d5e3060960d6d65fe0310c8ad115,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/external-blockers.json,other release evidence,true,false,false,4440533aafbe8c05c7387d9f0222492daeb9944e77068b4af993f7ca58fbe878,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/final-validation-report.md,other release evidence,true,false,false,649ea38b780dcbc41126d54feda776a56eb5617265ff75ffa4549f50d3af41ef,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-native-build-failure.md,other release evidence,true,false,false,63c4653cfae55b2ca5c890c5d3c9f3b8ddfaee43a97ff94574ffcb1826f27d6a,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/01_splash.png,other release evidence,true,false,false,311f00e2117e12ffb1219327e9df81469aa126ae9c1f31128d95ea3d1dfcee62,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/02_login.png,other release evidence,true,false,false,040a80cb830e029754e32c9991bc9f6149d25d9b780721dac5b38632641fb7c0,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/03_signup.png,other release evidence,true,false,false,112c75d45b76054bfd20ee417ac33b878d097a9e979e23350cd7293d483f68e4,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/05_salary_home.png,other release evidence,true,false,false,21eb8b0971dd47cd4c91cfaa91f2fc79096ce7cc1abbeb47dcede7eee72fee29,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/06_daily_budget.png,other release evidence,true,false,false,418bfdef76ec844259b23bfdf2be46ae33ccc8057b553267d1ea0790cafc4d5c,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/07_plan_setting.png,other release evidence,true,false,false,0569e5a1a5cb8071d9a81d5dabab396cb995e54d1b29fb010f749e5254913950,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/08_notifications.png,other release evidence,true,false,false,218d57695de2e7ae83d85c4b4568b9ccc99e021e3c0722f596e21649808cae87,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/09_level_hub.png,other release evidence,true,false,false,e2a6d9a5d48e443ef084f6a70ed50f457d1ab89e38227325e4a689a60d290706,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/10_level_reading.png,other release evidence,true,false,false,75cfd41977adf0df0a83824485474b40dd1447a697c0f07c2255c2be7ac3cf31,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/11_level_news.png,other release evidence,true,false,false,762c819ada3a1b6d17bc3a657110d2ba184e6f160ad9ef23333f8f92ea945766,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/12_level_english.png,other release evidence,true,false,false,08a22877baba44390d87b13e7dce93723aa9f1b93e7f39d2ca877551b555db3a,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/13_level_health.png,other release evidence,true,false,false,639f982912d9f29863e86b5fcb8d903b49f5ec9ee42dedce80f770547e89b15e,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/14_community.png,other release evidence,true,false,false,158396cab54c1a9acac9fc7803d458b477803bd069dc27cf8e372c2f54673493,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/15_community_write.png,other release evidence,true,false,false,021cbdfa63b0caa7b6a129adc4cf744b4253b87b7b3d73f0ddc242b1bc21ce6c,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/16_profile.png,other release evidence,true,false,false,b2baa7a288f668c9f2646e7c9827264275eff954f6048670b42f993dc282b279,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/17_profile_level.png,other release evidence,true,false,false,e3171749b68877f54cf5135d4ecb7d722bb287d2a36a5e8c994a08985f6d5fab,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/capture-summary.json,other release evidence,true,false,false,f9caed63a403ce56df70423c2025f70f5271a622991a2109879c32b324ba6ab0,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
release/evidence/mobile-ui/design-implementation-checklist.md,other release evidence,true,false,false,b7e7976575218c1d385b3f93021bf5df386cc1e1e8cf28b743a248492cd2a190,,EXCLUDE_RUNTIME,Exclude from runtime porting; archive is historical evidence or binary output.,
docs/final-documents/LEVEL_UP_CONTENT_OPERATIONS_POLICY.md,docs-evidence,true,true,false,ba04382e4af5f7c9f562183a674656cf21977286bb90409343c85a7ab7e4c3c1,94ad93aeb0b614cae20e520490275d29af30e1fdcbee0f3abc7ea87fa4c5901f,SUPERSEDED_BY_CURRENT_EVIDENCE,Do not port runtime code; keep current tracked evidence as authoritative.,
docs/codex/08_FILE_COMPLETION_LOG.md,docs-evidence,true,true,false,c9a037367287041b69dd91ba1dcd9ffe3011013ea4473c950a295acd9117d31b,f4de8c1b11d5ce48834c0f4a34dd133a14bcef08b06aac472a8cbd64e07c3a17,SUPERSEDED_BY_CURRENT_EVIDENCE,Do not port runtime code; keep current tracked evidence as authoritative.,
docs/codex/15_UI_UX_REFERENCE.md,docs-evidence,true,true,false,54c28d9e63b5d4890022b34304b9cd9c597f8f3dff0e9e8c092c7b47aed1664d,21f9f5d248616e978853a80f353be76b8360325421bb0e9854cf22dbae05b190,SUPERSEDED_BY_CURRENT_EVIDENCE,Do not port runtime code; keep current tracked evidence as authoritative.,
apps/mobile/app.config.ts,mobile-source,true,true,false,9d23bc9335399f0bd6c31ef8e99043342e49106d31a9d9ba9b048544a4a6fb93,49bd19abaeb6fcb3ff3eb2814e54965ea3c0011b1a1b33bc1970a3c5e1da6480,CURRENT_ACCEPTED,Keep the current Expo app config. It supersedes the archive copy by using a white splash/adaptive-icon background that matches the provided Salary Hijacking launch design and by removing the stale `host: app` custom-scheme deep link so Expo Router paths open directly instead of under an obsolete `/app` prefix.,"git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/apps/mobile/app.config.ts apps/mobile/app.config.ts,corepack pnpm --filter @salary-hijacking/mobile run test -- src/config/__tests__/mobile-e2e-contract.test.ts --runInBand,node --test scripts/release/classify-merge-conflict-archive.test.mjs scripts/release/check-release-readiness.test.mjs"
apps/mobile/package.json,repo-config,true,true,false,000b7fa42ad1ac37e0003f766d236eb36a24fe033763c1ce7fe13f3788374efe,b443094dcde3cccc0fc480715b2a38efaa440639e3b9757621d96532d8508a6a,CURRENT_ACCEPTED,Keep the current mobile package manifest. It preserves the Android phone debug build script and mobile QA scripts used by the latest preview APK and physical phone proof workflow.,"corepack pnpm --filter @salary-hijacking/mobile run typecheck,corepack pnpm --filter @salary-hijacking/mobile test -- focused Salary/Plan/Preview suites,node --test apps/mobile/scripts/expo-local-android-debug-build.test.mjs"
apps/mobile/src/shared/styles/clean-fintech-screens.tsx,mobile-source,true,true,false,e6345d35d1b6b895e8d3f0de5fe6fe0a5c48341b7b1c7cbd140d2be0d93af57c,685fd40367f20acd501aa4c9e7e5aefd3fafe07929d263eee79ecb88d8c60dcd,CURRENT_ACCEPTED,Keep the current Clean Fintech screen implementation. It supersedes the archive copy by using the shared static image asset registry for the platform logo and by replacing archive English LV UP private-record prompts with Korean UX copy and accessibility labels.,"git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/apps/mobile/src/shared/styles/clean-fintech-screens.tsx apps/mobile/src/shared/styles/clean-fintech-screens.tsx,corepack pnpm --filter @salary-hijacking/mobile run test -- src/shared/styles/__tests__/clean-fintech-theme.test.ts --runInBand,node --test scripts/release/classify-merge-conflict-archive.test.mjs scripts/release/check-release-readiness.test.mjs"
apps/mobile/src/shared/styles/__tests__/clean-fintech-theme.test.ts,mobile-source,true,true,false,cdbbd019c4f0981f508bc49961c7db6941039b1d42a590368d3d186b09c28b43,f4b276aa7d0d144e811dc7a7957d6fe4942fc9ed5026e38fbd8f7ce015958837,CURRENT_ACCEPTED,Keep the current Clean Fintech design contract test. It follows the new `src/shared/assets/images/brand` registry path and asserts the Korean private LV UP record copy instead of the older English placeholder text.,"git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/apps/mobile/src/shared/styles/__tests__/clean-fintech-theme.test.ts apps/mobile/src/shared/styles/__tests__/clean-fintech-theme.test.ts,corepack pnpm --filter @salary-hijacking/mobile run test -- src/shared/styles/__tests__/clean-fintech-theme.test.ts --runInBand,node --test scripts/release/classify-merge-conflict-archive.test.mjs scripts/release/check-release-readiness.test.mjs"
apps/mobile/src/shared/components/AppHeader.tsx,mobile-source,true,true,false,3e2768b0e12ace286ec41d64513f0ae88ea2ec5eebcac448285d082ac27c9f02,99a876631862285e8c28416b1053047f586ad44fd7ffdbf8f77dcfdb96d3ab70,CURRENT_ACCEPTED,"Keep the current shared AppHeader implementation. It supersedes the archive copy by rendering the official Salary Hijacking BI through the static image asset registry, preserving the `SALARY HIJACKING` brand label, and keeping a compact accessible header contract for the PDF-derived mobile screens.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/apps/mobile/src/shared/components/AppHeader.tsx apps/mobile/src/shared/components/AppHeader.tsx,corepack pnpm --filter @salary-hijacking/mobile run test -- src/shared/components/__tests__/shared-components.contract.test.tsx --runInBand,node --test scripts/release/classify-merge-conflict-archive.test.mjs scripts/release/check-release-readiness.test.mjs"
apps/mobile/src/shared/components/AppShell.tsx,mobile-source,true,true,false,0b0eff77aaa6bb3040b8bf1c46119a64cb61c55bac99596f91bbe0f030b51477,f50875c48db75a71b0fc451185391d74d7a70ca331d90111f97e4867890ad73f,CURRENT_ACCEPTED,"Keep the current shared AppShell implementation. It supersedes the archive copy with KeyboardAvoidingView, safe-area inset padding, handled keyboard taps, automatic content inset adjustment, and bottom padding that prevents shared screens and bottom tabs from colliding with Android/iOS system navigation.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/apps/mobile/src/shared/components/AppShell.tsx apps/mobile/src/shared/components/AppShell.tsx,corepack pnpm --filter @salary-hijacking/mobile run test -- src/shared/components/__tests__/shared-components.contract.test.tsx --runInBand,node --test scripts/release/classify-merge-conflict-archive.test.mjs scripts/release/check-release-readiness.test.mjs"
apps/mobile/src/shared/api/__tests__/app-screen-contract.test.ts,mobile-source,true,true,false,20356ce5ae6b53c3e00983adddf2999e666f4c7ea942a59152daa685c4d747dc,0d71b2a15df582f093cf932d43f8c79b317606739bd8747619f475b89abc94b4,CURRENT_ACCEPTED,"Keep the current app screen contract test after adding an explicit Korean bottom-tab copy regression guard. It now protects route names, splash unsticking, capture routes, safe error fallback, auth gates, and readable Korean tab labels.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/apps/mobile/src/shared/api/__tests__/app-screen-contract.test.ts apps/mobile/src/shared/api/__tests__/app-screen-contract.test.ts,corepack pnpm --filter @salary-hijacking/mobile run test -- src/shared/api/__tests__/app-screen-contract.test.ts --runInBand,corepack pnpm --filter @salary-hijacking/mobile run export:web"
apps/mobile/src/features/uploads/api.ts,mobile-source,true,true,false,3dc9e66f8f4eaa558393401701c0ec7410e6356a15b82249c5e133f19156837d,2ba0d1947da340647aa7d9e03b478dd1de4ca3f0f872daf66d59c3df796ddf79,CURRENT_ACCEPTED,"Keep the current mobile Uploads API after porting the archive-only sensitive filename terms `연봉` and `휴대폰` into the current broader privacy guard, preserving current `은행`, `이메일`, safe Korean error copy, HTTPS-only base URL validation, no raw path headers, unknown-field rejection, and server-echo sanitization.","git diff --no-index --stat .merged-from-salary-hijacking-main/conflicts/apps/mobile/src/features/uploads/api.ts apps/mobile/src/features/uploads/api.ts,corepack pnpm --filter @salary-hijacking/mobile run test -- src/features/uploads/__tests__/uploads.api.test.ts --runInBand,node --test scripts/release/classify-merge-conflict-archive.test.mjs scripts/release/check-release-readiness.test.mjs"
